2025-07-31 08:32:37 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: USD/JPY | Direction: CALL | Confidence: 81.2% | Entry: 149.000505906252 | Expiration: 5min | Risk: LOW | ID: USD/JPY_1753950757
2025-07-31 08:32:44 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: USD/JPY | Direction: CALL | Confidence: 81.9% | Entry: 149.0111875448484 | Expiration: 5min | Risk: LOW | ID: USD/JPY_1753950764
2025-07-31 08:39:41 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: PUT | Confidence: 65% | Entry: 1.3300535176895818 | Expiration: 5min | Risk: MEDIUM | ID: GBP/USD_1753951181
2025-07-31 08:46:53 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: USD/JPY | Direction: CALL | Confidence: 82.7% | Entry: 149.01191765007195 | Expiration: 5min | Risk: LOW | ID: USD/JPY_1753951613
2025-07-31 08:52:36 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: USD/CHF | Direction: PUT | Confidence: 65% | Entry: 0.811940101649501 | Expiration: 5min | Risk: MEDIUM | ID: USD/CHF_1753951956
2025-07-31 08:59:48 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/JPY | Direction: CALL | Confidence: 86.1% | Entry: 96.21227276627131 | Expiration: 5min | Risk: LOW | ID: AUD/JPY_1753952388
2025-07-31 09:00:30 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/JPY | Direction: CALL | Confidence: 92.3% | Entry: 197.96267408778021 | Expiration: 17min | Risk: LOW | ID: GBP/JPY_1753952430
2025-07-31 09:01:55 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/JPY | Direction: CALL | Confidence: 85.7% | Entry: 96.21293010933371 | Expiration: 5min | Risk: LOW | ID: AUD/JPY_1753952515
2025-07-31 09:02:50 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/JPY | Direction: CALL | Confidence: 94.1% | Entry: 197.94682550688916 | Expiration: 5min | Risk: LOW | ID: GBP/JPY_1753952570
2025-07-31 09:06:15 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: PUT | Confidence: 66.1% | Entry: 1.3300819406054636 | Expiration: 1min | Risk: MEDIUM | ID: GBP/USD_1753952775
2025-07-31 09:12:45 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/JPY | Direction: CALL | Confidence: 82.3% | Entry: 197.93622824222828 | Expiration: 5min | Risk: LOW | ID: GBP/JPY_1753953165
2025-07-31 09:17:47 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: USD/JPY | Direction: CALL | Confidence: 93.2% | Entry: 148.99618775511638 | Expiration: 5min | Risk: LOW | ID: USD/JPY_1753953467
2025-07-31 09:23:21 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: PUT | Confidence: 65% | Entry: 1.1498913930778791 | Expiration: 5min | Risk: MEDIUM | ID: EUR/USD_1753953801
2025-07-31 09:23:24 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: USD/JPY | Direction: CALL | Confidence: 90.9% | Entry: 148.99696184563203 | Expiration: 5min | Risk: LOW | ID: USD/JPY_1753953804
2025-07-31 09:25:11 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: CALL | Confidence: 65% | Entry: 1.1499939322772141 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753953911
2025-07-31 09:27:18 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/GBP | Direction: CALL | Confidence: 65% | Entry: 0.8629581008781478 | Expiration: 5min | Risk: MEDIUM | ID: EUR/GBP_1753954038
2025-07-31 09:29:37 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/GBP | Direction: PUT | Confidence: 65% | Entry: 0.8629236103942729 | Expiration: 5min | Risk: MEDIUM | ID: EUR/GBP_1753954177
2025-07-31 09:36:51 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/CHF | Direction: PUT | Confidence: 65% | Entry: 0.9300785386877773 | Expiration: 5min | Risk: MEDIUM | ID: EUR/CHF_1753954611
2025-07-31 09:37:13 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/CHF | Direction: PUT | Confidence: 65% | Entry: 0.9299177971518461 | Expiration: 1min | Risk: MEDIUM | ID: EUR/CHF_1753954633
2025-07-31 09:37:33 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/JPY | Direction: CALL | Confidence: 86.6% | Entry: 197.93224864250584 | Expiration: 240min | Risk: LOW | ID: GBP/JPY_1753954653
2025-07-31 09:37:35 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: CALL | Confidence: 65% | Entry: 1.3301255079748513 | Expiration: 240min | Risk: MEDIUM | ID: GBP/USD_1753954655
2025-07-31 09:37:47 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/CHF | Direction: PUT | Confidence: 69.7% | Entry: 0.9299968783986661 | Expiration: 5min | Risk: MEDIUM | ID: EUR/CHF_1753954667
2025-07-31 09:37:55 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: CAD/JPY | Direction: CALL | Confidence: 92.0% | Entry: 107.92074215176027 | Expiration: 5min | Risk: LOW | ID: CAD/JPY_1753954675
2025-07-31 09:38:17 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/CHF | Direction: CALL | Confidence: 65% | Entry: 0.929929394115545 | Expiration: 5min | Risk: MEDIUM | ID: EUR/CHF_1753954697
2025-07-31 09:39:35 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: CAD/JPY | Direction: CALL | Confidence: 89.8% | Entry: 107.90592979727778 | Expiration: 1min | Risk: LOW | ID: CAD/JPY_1753954775
2025-07-31 09:41:58 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/JPY | Direction: CALL | Confidence: 86.3% | Entry: 96.2032319379835 | Expiration: 1min | Risk: LOW | ID: AUD/JPY_1753954918
2025-07-31 09:43:18 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/JPY | Direction: CALL | Confidence: 95% | Entry: 96.20795380401604 | Expiration: 1min | Risk: LOW | ID: AUD/JPY_1753954998
2025-07-31 09:43:35 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/JPY | Direction: CALL | Confidence: 91.4% | Entry: 96.21814802897293 | Expiration: 1min | Risk: LOW | ID: AUD/JPY_1753955015
2025-07-31 09:45:14 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: PUT | Confidence: 71.6% | Entry: 0.6459520527278015 | Expiration: 5min | Risk: LOW | ID: AUD/USD_1753955114
2025-07-31 09:46:51 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: PUT | Confidence: 65% | Entry: 0.6460396943577104 | Expiration: 5min | Risk: MEDIUM | ID: AUD/USD_1753955211
2025-07-31 09:48:26 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: CALL | Confidence: 65% | Entry: 0.6459845099186415 | Expiration: 5min | Risk: MEDIUM | ID: AUD/USD_1753955306
2025-07-31 09:48:40 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: CALL | Confidence: 65% | Entry: 0.6459570117796916 | Expiration: 5min | Risk: MEDIUM | ID: AUD/USD_1753955320
2025-07-31 09:48:52 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: CALL | Confidence: 65% | Entry: 0.64594692012683 | Expiration: 1min | Risk: MEDIUM | ID: AUD/USD_1753955332
2025-07-31 09:49:48 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: PUT | Confidence: 65% | Entry: 1.3298847217748622 | Expiration: 5min | Risk: MEDIUM | ID: GBP/USD_1753955388
2025-07-31 09:49:57 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: CALL | Confidence: 65% | Entry: 1.3301072254872792 | Expiration: 1min | Risk: MEDIUM | ID: GBP/USD_1753955397
2025-07-31 09:50:24 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: CALL | Confidence: 65% | Entry: 1.3300047504286783 | Expiration: 5min | Risk: MEDIUM | ID: GBP/USD_1753955424
2025-07-31 09:50:54 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: PUT | Confidence: 65% | Entry: 1.330097036016294 | Expiration: 5min | Risk: MEDIUM | ID: GBP/USD_1753955454
2025-07-31 09:51:08 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: PUT | Confidence: 65% | Entry: 1.3301285339800353 | Expiration: 5min | Risk: MEDIUM | ID: GBP/USD_1753955468
2025-07-31 09:52:11 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: PUT | Confidence: 65% | Entry: 1.3301214264747208 | Expiration: 5min | Risk: MEDIUM | ID: GBP/USD_1753955531
2025-07-31 09:52:22 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: PUT | Confidence: 76.3% | Entry: 1.3298680031690981 | Expiration: 5min | Risk: LOW | ID: GBP/USD_1753955542
2025-07-31 09:52:31 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: CALL | Confidence: 68.0% | Entry: 1.1500281554493863 | Expiration: 5min | Risk: MEDIUM | ID: EUR/USD_1753955551
2025-07-31 09:53:04 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: CALL | Confidence: 65% | Entry: 1.1499652718003615 | Expiration: 5min | Risk: MEDIUM | ID: EUR/USD_1753955584
2025-07-31 09:53:14 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: CALL | Confidence: 65% | Entry: 1.149888837198883 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753955594
2025-07-31 09:53:41 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: PUT | Confidence: 69.1% | Entry: 1.3299968871872725 | Expiration: 5min | Risk: MEDIUM | ID: GBP/USD_1753955621
2025-07-31 09:53:52 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: PUT | Confidence: 79.6% | Entry: 1.3301297756684098 | Expiration: 1min | Risk: LOW | ID: GBP/USD_1753955632
2025-07-31 09:55:38 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: PUT | Confidence: 65% | Entry: 1.1498991130451843 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753955738
2025-07-31 09:55:58 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: PUT | Confidence: 65% | Entry: 1.149998864086074 | Expiration: 5min | Risk: MEDIUM | ID: EUR/USD_1753955758
2025-07-31 09:56:25 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: PUT | Confidence: 65% | Entry: 1.1499565538247802 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753955785
2025-07-31 09:57:46 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: CALL | Confidence: 65% | Entry: 1.1499701818667034 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753955866
